               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12523,             0.02651,            0.045993,          0.00016846,            0.027778,          0.00054008,           0.0001745,             0.12085,                0.02,            0.038818,              0.0856,              0.0016,              0.0016
                   1,             0.10866,             0.02588,            0.037509,          0.00029857,            0.083333,          0.00051163,           0.0001141,             0.11984,            0.017637,             0.02998,            0.070289,           0.0032891,           0.0032891
                   2,            0.096255,             0.02993,            0.028788,              0.7585,            0.013889,           0.0036841,          0.00087008,             0.11259,            0.023106,            0.025952,            0.054967,            0.004967,            0.004967
                   3,            0.090788,            0.031658,            0.023257,             0.50404,            0.090278,           0.0071281,           0.0017613,            0.098093,            0.028103,             0.02016,            0.039634,           0.0066337,           0.0066337
                   4,             0.08516,            0.031569,            0.021834,             0.52864,             0.13048,            0.035591,            0.014395,             0.10087,            0.028603,            0.017004,            0.024289,           0.0082891,           0.0082891
                   5,            0.082757,            0.032052,            0.017776,             0.56078,            0.097837,            0.040677,           0.0095145,            0.095774,            0.026382,            0.011646,            0.009835,            0.009835,            0.009835
                   6,            0.081573,             0.03193,            0.017326,             0.56692,            0.094298,            0.041942,            0.011565,             0.09003,            0.029598,            0.018378,            0.009835,            0.009835,            0.009835
                   7,            0.077946,            0.032019,            0.014056,             0.35277,             0.12204,            0.046379,            0.014494,            0.097199,             0.02597,            0.019682,            0.009802,            0.009802,            0.009802
                   8,            0.076235,            0.029897,            0.012992,             0.32707,             0.15609,            0.031558,            0.009833,            0.095893,            0.030895,            0.026297,            0.009769,            0.009769,            0.009769
                   9,            0.073568,             0.02743,            0.011719,             0.42735,             0.19386,             0.12068,            0.030041,            0.090438,            0.042213,           0.0099678,            0.009736,            0.009736,            0.009736
                  10,            0.071907,             0.02841,            0.011463,              0.3339,              0.1702,            0.057505,            0.012319,            0.095188,            0.025017,            0.015061,            0.009703,            0.009703,            0.009703
                  11,            0.071926,            0.026703,            0.010231,             0.44401,             0.24989,             0.16935,            0.049902,            0.078365,            0.025732,            0.010975,             0.00967,             0.00967,             0.00967
                  12,            0.067825,            0.027892,            0.010569,              0.3999,             0.25122,             0.16352,            0.044179,            0.086537,            0.022839,           0.0096725,            0.009637,            0.009637,            0.009637
                  13,            0.067054,            0.027295,           0.0091791,             0.47219,             0.27238,             0.20503,            0.068304,            0.079958,            0.021791,            0.012598,            0.009604,            0.009604,            0.009604
                  14,            0.066127,            0.027805,           0.0086137,             0.56141,             0.24463,             0.23174,            0.086845,            0.075304,            0.021219,            0.011652,            0.009571,            0.009571,            0.009571
                  15,             0.06635,            0.026417,           0.0089827,             0.52529,             0.27297,             0.25611,             0.08485,            0.075724,                0.02,            0.012018,            0.009538,            0.009538,            0.009538
                  16,            0.064498,             0.02842,           0.0077569,             0.58369,             0.31041,             0.29681,             0.10177,            0.074381,             0.02174,            0.012944,            0.009505,            0.009505,            0.009505
                  17,             0.06345,            0.027824,           0.0089244,             0.59482,             0.29872,             0.27883,            0.090594,             0.07187,            0.021751,           0.0098083,            0.009472,            0.009472,            0.009472
                  18,            0.062877,            0.026908,           0.0072961,             0.56924,              0.2819,             0.25196,            0.086135,            0.071051,            0.021706,            0.011247,            0.009439,            0.009439,            0.009439
                  19,            0.062074,            0.026521,           0.0083254,             0.54532,             0.32862,              0.2751,            0.099514,            0.073285,            0.021076,           0.0083969,            0.009406,            0.009406,            0.009406
                  20,            0.061217,            0.025217,           0.0070078,             0.54365,             0.29463,             0.25567,            0.093267,            0.071822,            0.022621,           0.0087036,            0.009373,            0.009373,            0.009373
                  21,            0.060515,            0.025137,           0.0068013,             0.69706,             0.30827,             0.32575,             0.11141,            0.069254,            0.021683,            0.010181,             0.00934,             0.00934,             0.00934
                  22,            0.060474,            0.025883,           0.0062388,             0.55371,             0.26842,             0.22558,            0.084375,            0.074957,            0.022198,            0.010023,            0.009307,            0.009307,            0.009307
                  23,            0.060921,            0.026531,           0.0073752,             0.46973,             0.49553,             0.41722,              0.1321,            0.068011,            0.021622,            0.009111,            0.009274,            0.009274,            0.009274
                  24,             0.05957,            0.026699,           0.0062283,             0.71545,             0.30519,             0.35326,             0.10233,            0.068159,            0.021074,           0.0079735,            0.009241,            0.009241,            0.009241
                  25,            0.058502,            0.026607,           0.0066649,             0.43477,             0.44002,             0.36176,             0.12145,            0.067356,            0.022211,            0.010931,            0.009208,            0.009208,            0.009208
                  26,            0.058429,            0.024393,           0.0078025,             0.32239,             0.39377,             0.36977,             0.13984,            0.065896,            0.022642,            0.012285,            0.009175,            0.009175,            0.009175
                  27,            0.058547,            0.025268,           0.0057557,             0.42435,               0.426,              0.3455,               0.125,            0.068048,            0.022131,           0.0084702,            0.009142,            0.009142,            0.009142
                  28,            0.058144,            0.024735,           0.0058758,             0.43783,             0.33444,             0.31531,             0.11315,            0.067401,            0.021315,            0.012329,            0.009109,            0.009109,            0.009109
                  29,            0.057437,             0.02478,           0.0056977,              0.5065,             0.41788,             0.35734,             0.14972,            0.073212,            0.021261,           0.0088181,            0.009076,            0.009076,            0.009076
                  30,            0.058043,            0.025262,           0.0053759,             0.34642,             0.41831,             0.32488,              0.1372,             0.07179,            0.021471,           0.0097931,            0.009043,            0.009043,            0.009043
                  31,            0.057634,            0.024456,           0.0050151,             0.39899,             0.30959,             0.30831,             0.11098,            0.069326,            0.022161,            0.014462,             0.00901,             0.00901,             0.00901
                  32,             0.05652,            0.025126,           0.0051827,             0.56263,             0.36042,             0.35362,             0.11865,            0.071669,            0.020779,            0.015285,            0.008977,            0.008977,            0.008977
                  33,             0.05575,            0.023605,           0.0051012,             0.54755,             0.35952,             0.36752,             0.14221,            0.069025,            0.022413,            0.016157,            0.008944,            0.008944,            0.008944
                  34,            0.055008,            0.024667,           0.0055675,              0.4331,              0.4114,             0.34764,              0.1211,            0.067209,             0.02195,           0.0099823,            0.008911,            0.008911,            0.008911
                  35,            0.055993,            0.024687,           0.0048527,             0.40543,             0.45051,             0.40985,             0.14658,             0.06822,            0.022451,           0.0073105,            0.008878,            0.008878,            0.008878
                  36,            0.055264,            0.024994,           0.0056186,             0.70837,             0.37961,             0.44913,             0.15409,            0.067801,            0.022133,            0.010604,            0.008845,            0.008845,            0.008845
                  37,            0.054655,            0.023455,           0.0051855,             0.45747,             0.34571,             0.40464,             0.15508,            0.067756,            0.021803,           0.0077156,            0.008812,            0.008812,            0.008812
                  38,            0.053127,            0.022146,           0.0051087,             0.57641,             0.37058,             0.37254,               0.135,            0.066883,            0.022686,           0.0092941,            0.008779,            0.008779,            0.008779
                  39,            0.054383,            0.024035,           0.0047625,             0.47137,             0.31287,             0.35814,             0.12693,            0.067842,            0.021694,            0.011117,            0.008746,            0.008746,            0.008746
                  40,            0.054218,            0.023645,           0.0043257,             0.53263,             0.41087,             0.39798,             0.13424,            0.067226,            0.021469,           0.0091759,            0.008713,            0.008713,            0.008713
                  41,            0.054578,            0.024381,           0.0046503,             0.55967,              0.3519,             0.35776,             0.13147,            0.069108,            0.022787,            0.011172,             0.00868,             0.00868,             0.00868
                  42,            0.052209,            0.023375,           0.0038089,             0.57138,             0.37935,             0.36303,             0.12329,            0.071056,            0.020483,            0.012271,            0.008647,            0.008647,            0.008647
                  43,            0.052753,            0.022277,           0.0037763,             0.55767,             0.34997,             0.34943,             0.11611,            0.070358,             0.02133,            0.010797,            0.008614,            0.008614,            0.008614
                  44,            0.052831,            0.023282,           0.0040301,             0.60789,             0.35857,             0.37765,              0.1105,            0.071706,            0.022577,            0.012007,            0.008581,            0.008581,            0.008581
                  45,            0.052239,            0.023814,           0.0037379,             0.44265,             0.33464,             0.29896,            0.099193,            0.066095,            0.022566,            0.010969,            0.008548,            0.008548,            0.008548
                  46,            0.051262,            0.022332,           0.0035739,             0.74193,             0.37479,             0.43863,             0.16616,            0.065016,            0.022173,            0.007975,            0.008515,            0.008515,            0.008515
                  47,            0.053332,            0.023062,           0.0033708,             0.60603,             0.40562,             0.41848,             0.16089,            0.065656,            0.022383,             0.01525,            0.008482,            0.008482,            0.008482
                  48,            0.052732,            0.022619,           0.0031305,             0.50553,             0.43095,              0.3734,             0.13858,            0.066905,            0.021545,           0.0096176,            0.008449,            0.008449,            0.008449
                  49,            0.050814,            0.022701,           0.0029198,             0.44251,             0.36001,             0.35634,              0.1344,            0.066174,            0.021652,            0.011661,            0.008416,            0.008416,            0.008416
                  50,             0.05162,            0.020785,           0.0028006,             0.45619,             0.47259,             0.33817,             0.11414,            0.069714,            0.022303,            0.015375,            0.008383,            0.008383,            0.008383
                  51,            0.052156,            0.023126,           0.0030898,             0.43678,             0.38111,              0.3729,             0.14649,            0.064582,            0.020966,           0.0090683,             0.00835,             0.00835,             0.00835
                  52,            0.052675,            0.021577,           0.0030698,             0.49878,             0.33226,             0.36331,             0.11704,            0.066472,            0.021475,            0.011182,            0.008317,            0.008317,            0.008317
                  53,            0.051847,            0.021392,           0.0028653,             0.48533,             0.27695,             0.32275,             0.12177,            0.064262,            0.021992,             0.01304,            0.008284,            0.008284,            0.008284
                  54,             0.04964,             0.02358,           0.0026331,             0.34262,             0.43943,             0.37693,             0.13351,            0.068277,            0.021935,           0.0080566,            0.008251,            0.008251,            0.008251
                  55,            0.050233,            0.022918,           0.0031648,             0.45231,             0.54202,             0.41903,             0.15139,            0.065435,            0.021334,           0.0094025,            0.008218,            0.008218,            0.008218
                  56,            0.050156,            0.023863,           0.0029831,             0.43455,              0.5213,             0.41559,             0.16168,            0.064669,            0.021751,            0.012736,            0.008185,            0.008185,            0.008185
                  57,            0.049539,            0.021509,           0.0027236,             0.60593,             0.51187,             0.47444,             0.17898,             0.06581,            0.020735,            0.012359,            0.008152,            0.008152,            0.008152
                  58,            0.051365,            0.021527,           0.0029182,             0.72401,             0.33895,             0.40271,             0.13947,            0.063073,             0.02186,           0.0065659,            0.008119,            0.008119,            0.008119
                  59,            0.048371,            0.022438,           0.0027288,             0.37032,             0.42444,             0.36344,             0.13565,             0.06535,            0.022066,           0.0072144,            0.008086,            0.008086,            0.008086
                  60,            0.049723,            0.022161,           0.0024096,             0.40386,             0.32669,             0.33462,             0.12358,            0.069733,            0.022243,           0.0087769,            0.008053,            0.008053,            0.008053
                  61,            0.049422,            0.021637,           0.0026739,             0.44993,             0.43849,             0.40296,             0.15311,            0.065159,            0.022343,           0.0070602,             0.00802,             0.00802,             0.00802
                  62,            0.049967,            0.022548,           0.0024384,             0.54779,             0.52112,             0.49762,             0.18385,            0.068114,            0.021482,           0.0067474,            0.007987,            0.007987,            0.007987
                  63,            0.048516,            0.021169,           0.0025461,             0.41867,             0.44932,              0.3569,             0.13262,            0.066216,            0.022629,            0.006929,            0.007954,            0.007954,            0.007954
                  64,            0.048219,            0.021373,           0.0020874,             0.53121,             0.33183,             0.36774,             0.13187,             0.06467,            0.021929,           0.0077515,            0.007921,            0.007921,            0.007921
                  65,            0.047423,            0.020868,           0.0022597,             0.54329,             0.31888,             0.36716,             0.13785,            0.064808,            0.022072,           0.0077919,            0.007888,            0.007888,            0.007888
                  66,            0.047781,            0.021859,           0.0020687,             0.54171,             0.46131,              0.3988,              0.1482,            0.063507,            0.021818,           0.0073387,            0.007855,            0.007855,            0.007855
                  67,            0.048746,            0.022105,           0.0023033,             0.54399,             0.43402,             0.40052,             0.15279,            0.066292,            0.021828,            0.010519,            0.007822,            0.007822,            0.007822
                  68,            0.047283,            0.022667,            0.002437,             0.58784,             0.40258,             0.41296,             0.13489,             0.06764,            0.021881,            0.010391,            0.007789,            0.007789,            0.007789
                  69,              0.0484,            0.021498,           0.0024658,             0.54599,             0.45629,             0.48768,             0.19722,            0.065972,            0.021782,            0.016774,            0.007756,            0.007756,            0.007756
                  70,            0.047692,            0.021746,           0.0024405,             0.49197,             0.42778,             0.38514,             0.14121,            0.065654,            0.021988,            0.014673,            0.007723,            0.007723,            0.007723
                  71,            0.047148,            0.022291,           0.0022366,             0.50157,             0.44528,             0.39041,             0.14026,            0.064908,            0.021873,            0.014296,             0.00769,             0.00769,             0.00769
                  72,            0.048254,            0.020845,           0.0023221,             0.59814,             0.39645,              0.4281,             0.14882,            0.064657,            0.021584,           0.0078285,            0.007657,            0.007657,            0.007657
                  73,            0.046317,            0.021713,           0.0021152,             0.38893,             0.45237,             0.36931,             0.14131,             0.06609,            0.022087,            0.008503,            0.007624,            0.007624,            0.007624
                  74,             0.04599,            0.021845,           0.0020415,             0.59959,             0.50033,             0.53987,             0.16992,            0.065453,            0.023094,            0.010217,            0.007591,            0.007591,            0.007591
                  75,            0.044777,            0.019918,           0.0020608,              0.5497,             0.50826,             0.41705,             0.14053,             0.06686,            0.024069,            0.011713,            0.007558,            0.007558,            0.007558
                  76,            0.046415,            0.020186,           0.0020045,             0.58253,             0.39861,             0.39275,             0.13509,             0.06463,            0.023472,            0.012471,            0.007525,            0.007525,            0.007525
                  77,            0.047145,            0.020698,           0.0020407,             0.58275,             0.41136,             0.41492,             0.16102,            0.062973,            0.022209,            0.010318,            0.007492,            0.007492,            0.007492
                  78,             0.04756,            0.021142,           0.0017182,             0.56221,             0.38926,             0.41469,               0.144,            0.065422,            0.022835,            0.013026,            0.007459,            0.007459,            0.007459
                  79,            0.046285,            0.020732,           0.0020141,             0.54473,             0.53124,             0.48581,             0.17067,            0.065193,            0.022654,            0.011008,            0.007426,            0.007426,            0.007426
                  80,            0.045612,            0.020123,           0.0022222,              0.5995,             0.32652,             0.41074,             0.19392,            0.065578,            0.023701,           0.0090332,            0.007393,            0.007393,            0.007393
                  81,            0.044971,            0.021442,           0.0020187,             0.47763,             0.36334,             0.36439,             0.13193,            0.068788,            0.025249,            0.010577,             0.00736,             0.00736,             0.00736
                  82,            0.046468,            0.020811,           0.0017787,             0.75758,             0.45254,             0.51065,              0.1594,            0.066312,            0.024847,           0.0071373,            0.007327,            0.007327,            0.007327
                  83,            0.045524,            0.020955,           0.0016583,             0.54666,              0.4213,             0.46652,             0.15608,            0.065234,            0.024857,            0.009552,            0.007294,            0.007294,            0.007294
                  84,            0.044632,            0.019501,           0.0024201,             0.74924,             0.46707,             0.54246,             0.20564,             0.06741,            0.024715,            0.012335,            0.007261,            0.007261,            0.007261
                  85,            0.044284,            0.021073,           0.0020159,             0.53064,             0.54203,             0.45717,             0.15731,            0.066084,             0.02282,            0.014485,            0.007228,            0.007228,            0.007228
                  86,            0.045014,            0.019933,           0.0016474,              0.7733,              0.3691,             0.47237,             0.17228,            0.065978,            0.023191,            0.013408,            0.007195,            0.007195,            0.007195
                  87,            0.045066,             0.01991,           0.0018208,             0.45518,             0.40181,             0.43977,             0.18505,              0.0634,            0.021832,            0.010921,            0.007162,            0.007162,            0.007162
                  88,            0.044469,            0.020955,           0.0018804,             0.59657,              0.4133,             0.47316,             0.21001,            0.063906,            0.021971,           0.0078873,            0.007129,            0.007129,            0.007129
