               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12552,            0.026356,            0.046085,           0.0001571,            0.020833,          0.00055455,          7.9073e-05,             0.12194,            0.018608,             0.04007,              0.0856,              0.0016,              0.0016
                   1,             0.10882,            0.025179,            0.037928,          0.00078136,             0.13816,           0.0010084,          0.00023198,             0.11521,            0.018276,            0.026483,            0.070289,           0.0032891,           0.0032891
                   0,             0.12523,             0.02651,            0.045993,          0.00016846,            0.027778,          0.00054008,           0.0001745,             0.12085,                0.02,            0.038818,              0.0856,              0.0016,              0.0016
                   1,             0.10866,             0.02588,            0.037509,          0.00029857,            0.083333,          0.00051163,           0.0001141,             0.11984,            0.017637,             0.02998,            0.070289,           0.0032891,           0.0032891
                   2,            0.096255,             0.02993,            0.028788,              0.7585,            0.013889,           0.0036841,          0.00087008,             0.11259,            0.023106,            0.025952,            0.054967,            0.004967,            0.004967
                   3,            0.090788,            0.031658,            0.023257,             0.50404,            0.090278,           0.0071281,           0.0017613,            0.098093,            0.028103,             0.02016,            0.039634,           0.0066337,           0.0066337
                   4,             0.08516,            0.031569,            0.021834,             0.52864,             0.13048,            0.035591,            0.014395,             0.10087,            0.028603,            0.017004,            0.024289,           0.0082891,           0.0082891
                   5,            0.082757,            0.032052,            0.017776,             0.56078,            0.097837,            0.040677,           0.0095145,            0.095774,            0.026382,            0.011646,            0.009835,            0.009835,            0.009835
                   6,            0.081573,             0.03193,            0.017326,             0.56692,            0.094298,            0.041942,            0.011565,             0.09003,            0.029598,            0.018378,            0.009835,            0.009835,            0.009835
                   7,            0.077946,            0.032019,            0.014056,             0.35277,             0.12204,            0.046379,            0.014494,            0.097199,             0.02597,            0.019682,            0.009802,            0.009802,            0.009802
                   8,            0.076235,            0.029897,            0.012992,             0.32707,             0.15609,            0.031558,            0.009833,            0.095893,            0.030895,            0.026297,            0.009769,            0.009769,            0.009769
                   9,            0.073568,             0.02743,            0.011719,             0.42735,             0.19386,             0.12068,            0.030041,            0.090438,            0.042213,           0.0099678,            0.009736,            0.009736,            0.009736
                  10,            0.071907,             0.02841,            0.011463,              0.3339,              0.1702,            0.057505,            0.012319,            0.095188,            0.025017,            0.015061,            0.009703,            0.009703,            0.009703
                  11,            0.071926,            0.026703,            0.010231,             0.44401,             0.24989,             0.16935,            0.049902,            0.078365,            0.025732,            0.010975,             0.00967,             0.00967,             0.00967
                  12,            0.067825,            0.027892,            0.010569,              0.3999,             0.25122,             0.16352,            0.044179,            0.086537,            0.022839,           0.0096725,            0.009637,            0.009637,            0.009637
                  13,            0.067054,            0.027295,           0.0091791,             0.47219,             0.27238,             0.20503,            0.068304,            0.079958,            0.021791,            0.012598,            0.009604,            0.009604,            0.009604
                  14,            0.066127,            0.027805,           0.0086137,             0.56141,             0.24463,             0.23174,            0.086845,            0.075304,            0.021219,            0.011652,            0.009571,            0.009571,            0.009571
                  15,             0.06635,            0.026417,           0.0089827,             0.52529,             0.27297,             0.25611,             0.08485,            0.075724,                0.02,            0.012018,            0.009538,            0.009538,            0.009538
                  16,            0.064498,             0.02842,           0.0077569,             0.58369,             0.31041,             0.29681,             0.10177,            0.074381,             0.02174,            0.012944,            0.009505,            0.009505,            0.009505
                  17,             0.06345,            0.027824,           0.0089244,             0.59482,             0.29872,             0.27883,            0.090594,             0.07187,            0.021751,           0.0098083,            0.009472,            0.009472,            0.009472
                  18,            0.062877,            0.026908,           0.0072961,             0.56924,              0.2819,             0.25196,            0.086135,            0.071051,            0.021706,            0.011247,            0.009439,            0.009439,            0.009439
                  19,            0.062074,            0.026521,           0.0083254,             0.54532,             0.32862,              0.2751,            0.099514,            0.073285,            0.021076,           0.0083969,            0.009406,            0.009406,            0.009406
                  20,            0.061217,            0.025217,           0.0070078,             0.54365,             0.29463,             0.25567,            0.093267,            0.071822,            0.022621,           0.0087036,            0.009373,            0.009373,            0.009373
                  21,            0.060515,            0.025137,           0.0068013,             0.69706,             0.30827,             0.32575,             0.11141,            0.069254,            0.021683,            0.010181,             0.00934,             0.00934,             0.00934
                  22,            0.060474,            0.025883,           0.0062388,             0.55371,             0.26842,             0.22558,            0.084375,            0.074957,            0.022198,            0.010023,            0.009307,            0.009307,            0.009307
                  23,            0.060921,            0.026531,           0.0073752,             0.46973,             0.49553,             0.41722,              0.1321,            0.068011,            0.021622,            0.009111,            0.009274,            0.009274,            0.009274
                  24,             0.05957,            0.026699,           0.0062283,             0.71545,             0.30519,             0.35326,             0.10233,            0.068159,            0.021074,           0.0079735,            0.009241,            0.009241,            0.009241
                  25,            0.058502,            0.026607,           0.0066649,             0.43477,             0.44002,             0.36176,             0.12145,            0.067356,            0.022211,            0.010931,            0.009208,            0.009208,            0.009208
                  26,            0.058429,            0.024393,           0.0078025,             0.32239,             0.39377,             0.36977,             0.13984,            0.065896,            0.022642,            0.012285,            0.009175,            0.009175,            0.009175
                  27,            0.058547,            0.025268,           0.0057557,             0.42435,               0.426,              0.3455,               0.125,            0.068048,            0.022131,           0.0084702,            0.009142,            0.009142,            0.009142
                  28,            0.058144,            0.024735,           0.0058758,             0.43783,             0.33444,             0.31531,             0.11315,            0.067401,            0.021315,            0.012329,            0.009109,            0.009109,            0.009109
                  29,            0.057437,             0.02478,           0.0056977,              0.5065,             0.41788,             0.35734,             0.14972,            0.073212,            0.021261,           0.0088181,            0.009076,            0.009076,            0.009076
                  30,            0.058043,            0.025262,           0.0053759,             0.34642,             0.41831,             0.32488,              0.1372,             0.07179,            0.021471,           0.0097931,            0.009043,            0.009043,            0.009043
